Epoch,Accuracy,Loss
1,87.86,0.007969864957536
2,92.76,0.0041264960622916
3,94.32,0.0030943134199612
4,94.71,0.0027194596455396
5,94.89,0.0025151732160548
6,95.07,0.0023226129146328
7,96.06,0.0018442800339051
8,96.39,0.0016920275610083
9,96.81,0.0017023071038868
10,96.3,0.0016477788880225
11,96.84,0.0014729935442469
12,97.03,0.0015626716396162
13,97.45,0.0013316332148791
14,97.42,0.0011440127631291
