Epoch,Accuracy,Loss
1,89.42,0.0073904819034326
2,93.48,0.0039495971219506
3,94.71,0.003071032034663
4,95.07,0.0025859046906519
5,94.38,0.0026633307010902
6,95.85,0.0020026820829326
7,96.27,0.0018283823743471
8,96.39,0.0018613488696596
9,96.97,0.0014704991749917
10,97.06,0.0015105619934799
11,97.12,0.0015115090393989
12,96.88,0.0014898756044903
13,97.66,0.0012577782768997
14,97.51,0.0013510575783864
