Epoch,Accuracy,Loss
1,86.51,0.0078730463999538
2,91.83,0.0042662429242717
3,93.66,0.0033182190493859
4,94.59,0.0025995209367605
5,95.37,0.0023734909079324
6,96.63,0.0019125272659808
7,96.15,0.0020133360471495
8,96.75,0.0017282751046318
9,96.57,0.001675600949686
10,97.15,0.001538130838106
11,96.75,0.0014986768107449
12,97.21,0.0014318156883326
13,97.12,0.0014554355002474
14,97.48,0.0012072242741571
