Epoch,Accuracy,Loss
1,tensor(87.3798),0.007410967588209762,26.50322699546814
2,tensor(91.8870),0.004288830713798793,126.18666124343872
3,tensor(93.9002),0.0033031341064578067,171.4819691181183
4,tensor(95.0120),0.002485001300766061,216.70374655723572
5,tensor(94.8618),0.002416878504356226,262.0604712963104
6,tensor(95.8834),0.0020613132857341464,307.95339345932007
7,tensor(96.6647),0.0016385378263434037,353.3884205818176
8,tensor(96.6346),0.0017803777216333682,396.947616815567
9,tensor(96.8450),0.0016711794882072494,440.50504517555237
10,tensor(97.3558),0.001492140278200028,483.6578879356384
11,tensor(96.9351),0.001432289451678606,526.5635261535645
12,tensor(96.9952),0.0014960009203395413,569.2833807468414
13,tensor(97.1454),0.0014225327898972095,612.2067124843597
14,tensor(97.3558),0.0012866707665335315,655.7693910598755
