Epoch,Accuracy,Loss
1,tensor(88.2212),0.007467949270414045,28.63482642173767
2,tensor(93.5998),0.004238029682220748,54.31851124763489
3,tensor(93.9603),0.003169634027961785,78.78288269042969
4,tensor(95.7031),0.0023885478048424167,102.59820127487183
5,tensor(95.4327),0.0022962954110251023,128.6567027568817
6,tensor(95.9435),0.0021726226785596316,154.1683201789856
7,tensor(96.0337),0.0019273245578425792,179.93037676811218
8,tensor(96.0637),0.0018980072009771203,206.2112331390381
9,tensor(96.3041),0.0016869435830113406,232.3695583343506
10,tensor(96.9651),0.001581229184991501,258.2642590999603
11,tensor(97.3257),0.0013163786413945043,284.6119043827057
12,tensor(97.0553),0.001585033115518924,310.07792139053345
13,tensor(97.0553),0.0014951923388322869,335.85451436042786
14,tensor(97.7163),0.0012293066155017675,361.54263973236084
