Epoch,Accuracy,Loss
1,tensor(85.8774),0.008256538341251703,30.758517503738403
2,tensor(92.4880),0.004412733228841366,56.54242753982544
3,tensor(94.1707),0.0032306298626980814,80.7252254486084
4,tensor(94.8918),0.0028848822134582754,105.28913021087646
5,tensor(95.1623),0.0024671558360121427,130.9375650882721
6,tensor(95.9135),0.002163763189365944,157.0290069580078
7,tensor(96.3642),0.0018898060678531271,182.29621624946594
8,tensor(96.7849),0.0016452530807537886,208.75213718414307
9,tensor(96.4543),0.001747236332448665,234.32297801971436
10,tensor(96.3341),0.001869892278941384,261.12152099609375
11,tensor(97.4159),0.001412688884066973,286.74395632743835
12,tensor(97.2356),0.0013316023754529082,312.76626205444336
13,tensor(97.5361),0.0012614181930705225,337.82924127578735
14,tensor(97.5962),0.0012589356464069658,364.2223427295685
