Epoch,Accuracy,Loss
1,tensor(88.1911),0.007300176774151623
2,tensor(92.1274),0.004444491149535259
3,tensor(92.0974),0.004158469431926138
4,tensor(94.7115),0.0027545191853557928
5,tensor(94.5012),0.002887471910351171
6,tensor(95.7632),0.0022028290718131196
7,tensor(96.0036),0.0019737536327179093
8,tensor(96.2440),0.0018269891306072867
9,tensor(96.2740),0.0018343152371996369
10,tensor(96.4243),0.0016641127591495975
11,tensor(96.9050),0.0014629289630997495
12,tensor(97.2656),0.001377693448375794
13,tensor(97.3257),0.0012215533151902491
14,tensor(97.5661),0.0013115995786322926
