Epoch,Accuracy,Loss
1,tensor(87.3798),0.0073324395701862295
2,tensor(92.8185),0.0041573806665837765
3,tensor(92.9387),0.0035422082403853824
4,tensor(95.1322),0.002861871117672238
5,tensor(95.4327),0.002442548174608069
6,tensor(95.1623),0.002468435763148591
7,tensor(96.5144),0.001769495227423389
8,tensor(95.8534),0.0020445745103643276
9,tensor(96.8149),0.0016285785772757104
10,tensor(96.9351),0.0015864247509923119
11,tensor(97.2656),0.0014110891167477418
12,tensor(97.1454),0.0014083959509802158
13,tensor(97.4760),0.0014535001170700595
14,tensor(97.4159),0.001311480509544848
