Epoch,Accuracy,Loss
1,tensor(10.3065),0.04876845602232676
2,tensor(52.5541),0.050799514883412764
3,tensor(63.9123),0.043023109006193966
4,tensor(58.3233),0.05090980539814784
5,tensor(59.4952),0.05520017111960512
6,tensor(59.4651),0.053860378881486565
7,tensor(47.3257),0.06134522663286099
8,tensor(52.1635),0.06207425018342642
9,tensor(54.5974),0.061115844533420526
10,tensor(63.0709),0.059210339632744975
11,tensor(45.7031),0.06428556509602529
12,tensor(40.3546),0.0646668984912909
13,tensor(41.4062),0.06642420274706987
14,tensor(44.1106),0.06578082885020055
