Epoch,Accuracy,Loss
1,tensor(88.0108),0.007513297309812445
2,tensor(92.7284),0.004330236993085306
3,tensor(93.3894),0.0036250004598584315
4,tensor(94.2308),0.0029230062881162246
5,tensor(95.0120),0.002487145859049633
6,tensor(95.8233),0.0021775016189517025
7,tensor(96.5144),0.0020110415084323343
8,tensor(96.1238),0.0018544713395665614
9,tensor(96.6947),0.0017333007115387144
10,tensor(96.6947),0.0017083677409503323
11,tensor(97.0553),0.0015897252675271234
12,tensor(97.2356),0.0014585693307498542
13,tensor(97.2055),0.0013792660292193221
14,tensor(96.9952),0.0013951374533532474
