Epoch,Accuracy,Loss
1,tensor(86.7488),0.007839835141427241
2,tensor(91.4363),0.004314190837948655
3,tensor(93.7500),0.0032425906034544683
4,tensor(95.2224),0.0026146745255503515
5,tensor(96.0036),0.0022697292095891987
6,tensor(95.6130),0.0022220606120894305
7,tensor(95.7933),0.0020227838596418644
8,tensor(96.4844),0.0018191191573770573
9,tensor(96.6947),0.001676640897550477
10,tensor(96.9050),0.0016807792478805194
11,tensor(96.6346),0.0015866716785239987
12,tensor(97.0853),0.0013981000296413326
13,tensor(96.9351),0.0014485420495195566
14,tensor(97.5361),0.0013535115960201858
